name,acronym,AP_location,DV_location,ML_location,avIndex
Midbrain reticular nucleus,MRN,-3.14,4.69,-1.38,827
medial lemniscus,ml,-3.14,5.09,-0.93,1160
Superior colliculus motor related intermediate white layer,SCiw,-3.14,2.82,-0.88,834
Midbrain,MB,-3.14,3.29,-0.77,807
Midbrain reticular nucleus,MRN,-3.14,3.4,-0.76,827
Red nucleus,RN,-3.14,4.76,-0.76,854
Midbrain reticular nucleus,MRN,-3.14,3.64,-0.44,827
Red nucleus,RN,-3.14,4.27,0.43,854
Midbrain,MB,-3.14,3.16,0.61,807
Red nucleus,RN,-3.14,4.17,0.63,854
Midbrain,MB,-3.14,3.1,0.69,807
Midbrain,MB,-3.14,3.19,0.69,807
Midbrain,MB,-3.14,3.22,0.74,807
Midbrain,MB,-3.14,3.12,0.75,807
Midbrain,MB,-3.14,3.23,0.81,807
Midbrain,MB,-3.14,3.3,0.88,807
Superior colliculus motor related intermediate white layer,SCiw,-3.14,3.21,0.92,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,2.63,-0.86,834
Superior colliculus motor related deep gray layer,SCdg,-3.22,2.9,-0.72,832
Midbrain reticular nucleus,MRN,-3.22,3.33,-0.72,827
Midbrain reticular nucleus,MRN,-3.22,3.85,-0.72,827
Midbrain reticular nucleus,MRN,-3.22,3.91,-0.67,827
Red nucleus,RN,-3.22,4.01,-0.62,854
Midbrain reticular nucleus,MRN,-3.22,3.69,-0.59,827
Midbrain reticular nucleus,MRN,-3.22,3.36,-0.58,827
Midbrain reticular nucleus,MRN,-3.22,3.41,-0.54,827
Midbrain reticular nucleus,MRN,-3.22,4.06,-0.5,827
Red nucleus,RN,-3.22,4.21,-0.47,854
Midbrain reticular nucleus,MRN,-3.22,4.19,-0.39,827
Midbrain reticular nucleus,MRN,-3.22,4.13,-0.35,827
doral tegmental decussation,dtd,-3.22,4.23,0.1,1229
Midbrain reticular nucleus,MRN,-3.22,4.18,0.21,827
Midbrain,MB,-3.22,4.57,0.2,807
Interstitial nucleus of Cajal,INC,-3.22,3.85,0.48,841
Midbrain reticular nucleus,MRN,-3.22,3.71,0.51,827
Red nucleus,RN,-3.22,4.58,0.58,854
Periaqueductal gray,PAG,-3.22,3.1,0.61,839
Red nucleus,RN,-3.22,4.25,0.65,854
Red nucleus,RN,-3.22,4.43,0.67,854
Midbrain,MB,-3.22,3.13,0.82,807
Red nucleus,RN,-3.22,4.23,0.87,854
Superior colliculus motor related intermediate white layer,SCiw,-3.22,2.73,0.89,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,3.16,0.93,834
Red nucleus,RN,-3.22,4.04,0.97,854
Superior colliculus motor related intermediate white layer,SCiw,-3.22,2.89,1.06,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,3.2,1.14,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,3.22,1.44,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,3.12,1.56,834
Superior colliculus motor related intermediate gray layer,SCig,-3.22,3.2,1.7,835
Midbrain,MB,-3.3,3.15,-0.92,807
Superior colliculus motor related deep gray layer,SCdg,-3.3,2.85,-0.78,832
Red nucleus,RN,-3.3,4.03,-0.74,854
Midbrain,MB,-3.3,3.19,-0.73,807
Red nucleus,RN,-3.3,3.98,-0.62,854
Midbrain reticular nucleus,MRN,-3.3,3.56,-0.61,827
Midbrain reticular nucleus,MRN,-3.3,3.46,-0.6,827
Midbrain reticular nucleus,MRN,-3.3,3.91,-0.6,827
Midbrain reticular nucleus,MRN,-3.3,3.52,-0.56,827
Red nucleus,RN,-3.3,4.06,-0.54,854
Red nucleus,RN,-3.3,4.3,-0.52,854
Midbrain reticular nucleus,MRN,-3.3,3.48,-0.48,827
Red nucleus,RN,-3.3,4.48,-0.45,854
Midbrain reticular nucleus,MRN,-3.3,3.56,-0.41,827
Midbrain reticular nucleus,MRN,-3.3,3.94,-0.4,827
Red nucleus,RN,-3.3,4.27,-0.4,854
Red nucleus,RN,-3.3,4.45,-0.39,854
Red nucleus,RN,-3.3,4.22,-0.36,854
Red nucleus,RN,-3.3,4.54,-0.35,854
Interstitial nucleus of Cajal,INC,-3.3,3.89,-0.33,841
Nucleus of Darkschewitsch,ND,-3.3,3.73,-0.3,842
Midbrain,MB,-3.3,4.72,-0.26,807
Midbrain reticular nucleus,MRN,-3.3,4.24,-0.25,827
Nucleus of Darkschewitsch,ND,-3.3,3.65,-0.11,842
Midbrain reticular nucleus,MRN,-3.3,4.09,0.26,827
Midbrain reticular nucleus,MRN,-3.3,4.17,0.27,827
Red nucleus,RN,-3.3,4.25,0.37,854
Midbrain reticular nucleus,MRN,-3.3,4.09,0.37,827
Red nucleus,RN,-3.3,4.35,0.4,854
Red nucleus,RN,-3.3,4.42,0.44,854
Midbrain reticular nucleus,MRN,-3.3,4.02,0.5,827
Red nucleus,RN,-3.3,4.19,0.5,854
Red nucleus,RN,-3.3,4.31,0.5,854
Red nucleus,RN,-3.3,4.41,0.52,854
Periaqueductal gray,PAG,-3.3,2.86,0.55,839
Red nucleus,RN,-3.3,4.4,0.62,854
Periaqueductal gray,PAG,-3.3,3.24,0.63,839
Red nucleus,RN,-3.3,4.35,0.67,854
Red nucleus,RN,-3.3,4.26,0.71,854
Red nucleus,RN,-3.3,4.32,0.72,854
Midbrain,MB,-3.3,3.15,0.74,807
Red nucleus,RN,-3.3,4.32,0.75,854
Superior colliculus motor related deep gray layer,SCdg,-3.3,2.82,0.77,832
Superior colliculus motor related intermediate white layer,SCiw,-3.3,2.65,0.78,834
Superior colliculus motor related deep gray layer,SCdg,-3.3,3.1,0.78,832
Midbrain reticular nucleus,MRN,-3.3,3.39,0.79,827
Superior colliculus motor related intermediate white layer,SCiw,-3.3,2.36,0.81,834
Red nucleus,RN,-3.3,4.14,0.8,854
Red nucleus,RN,-3.3,4.3,0.8,854
Midbrain,MB,-3.3,3.15,0.81,807
Midbrain reticular nucleus,MRN,-3.3,3.43,0.82,827
Superior colliculus motor related intermediate white layer,SCiw,-3.3,2.46,0.84,834
Superior colliculus motor related deep gray layer,SCdg,-3.3,3.09,0.87,832
Midbrain,MB,-3.3,3.27,0.84,807
Midbrain,MB,-3.3,3.18,0.87,807
Midbrain reticular nucleus,MRN,-3.3,3.93,0.85,827
Superior colliculus motor related intermediate white layer,SCiw,-3.3,2.71,0.89,834
Midbrain,MB,-3.3,3.26,0.9,807
Superior colliculus motor related deep gray layer,SCdg,-3.3,3.02,0.9,832
Superior colliculus motor related intermediate white layer,SCiw,-3.3,2.81,0.91,834
Midbrain,MB,-3.3,3.13,0.93,807
Red nucleus,RN,-3.3,4.18,0.92,854
Midbrain,MB,-3.3,3.31,0.93,807
Superior colliculus motor related intermediate white layer,SCiw,-3.3,2.84,0.97,834
Midbrain,MB,-3.3,3.28,0.98,807
Superior colliculus motor related intermediate white layer,SCiw,-3.3,3.01,0.99,834
Superior colliculus motor related intermediate white layer,SCiw,-3.3,3.05,0.99,834
Superior colliculus motor related intermediate white layer,SCiw,-3.3,3.09,1.02,834
Superior colliculus motor related intermediate white layer,SCiw,-3.3,3.22,1.01,834
Red nucleus,RN,-3.3,4.12,1.03,854
Superior colliculus motor related intermediate white layer,SCiw,-3.3,3.01,1.04,834
Midbrain reticular nucleus,MRN,-3.3,3.44,1.09,827
Superior colliculus motor related intermediate white layer,SCiw,-3.3,2.95,1.11,834
Midbrain,MB,-3.3,3.47,1.37,807
Midbrain reticular nucleus,MRN,-3.3,3.5,1.86,827
Midbrain reticular nucleus,MRN,-3.38,3.57,-1.51,827
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.08,-1.36,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.1,-1.22,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.91,-1.19,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.23,-1.11,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.82,-1.07,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.6,-1.06,834
Superior colliculus motor related deep gray layer,SCdg,-3.38,2.9,-0.94,832
Red nucleus,RN,-3.38,4.07,-0.86,854
Midbrain reticular nucleus,MRN,-3.38,3.83,-0.51,827
Red nucleus,RN,-3.38,4.24,-0.46,854
Midbrain reticular nucleus,MRN,-3.38,3.72,-0.43,827
Midbrain reticular nucleus,MRN,-3.38,4.07,-0.42,827
Red nucleus,RN,-3.38,4.2,-0.41,854
Midbrain reticular nucleus,MRN,-3.38,3.75,-0.38,827
Midbrain reticular nucleus,MRN,-3.38,4.15,-0.34,827
Midbrain,MB,-3.38,3.78,-0.27,807
Midbrain reticular nucleus,MRN,-3.38,4.03,-0.19,827
ventral tegmental decussation,vtd,-3.38,4.57,-0.07,1232
mammillotegmental tract,mtg,-3.38,4.31,0.14,1281
Red nucleus,RN,-3.38,4.23,0.35,854
Midbrain reticular nucleus,MRN,-3.38,4.13,0.41,827
Red nucleus,RN,-3.38,4.44,0.42,854
Red nucleus,RN,-3.38,4.11,0.49,854
Red nucleus,RN,-3.38,4.09,0.56,854
rubrospinal tract,rust,-3.38,4.87,0.62,1231
Red nucleus,RN,-3.38,4.32,0.67,854
Red nucleus,RN,-3.38,4.45,0.66,854
Red nucleus,RN,-3.38,4.51,0.67,854
Red nucleus,RN,-3.38,4.23,0.68,854
Red nucleus,RN,-3.38,4.15,0.69,854
Red nucleus,RN,-3.38,4.39,0.71,854
Superior colliculus motor related intermediate gray layer,SCig,-3.38,2.16,0.76,835
Red nucleus,RN,-3.38,4.11,0.78,854
Red nucleus,RN,-3.38,4.33,0.82,854
Superior colliculus motor related deep gray layer,SCdg,-3.38,3.03,0.88,832
Red nucleus,RN,-3.38,4.31,0.89,854
Red nucleus,RN,-3.38,4.28,0.95,854
Midbrain,MB,-3.38,3.19,0.98,807
Superior colliculus motor related deep gray layer,SCdg,-3.38,3.06,1.01,832
Midbrain reticular nucleus,MRN,-3.38,3.57,1.02,827
Red nucleus,RN,-3.38,4.22,1.06,854
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.71,1.07,834
Midbrain reticular nucleus,MRN,-3.38,3.53,1.07,827
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.45,1.08,834
Red nucleus,RN,-3.38,4.28,1.08,854
Superior colliculus motor related intermediate gray layer,SCig,-3.38,2.19,1.09,835
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.16,1.12,834
Superior colliculus motor related intermediate gray layer,SCig,-3.38,2.32,1.12,835
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.49,1.12,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.89,1.12,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.67,1.15,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.1,1.15,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.06,1.18,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.31,1.17,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.95,1.17,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.19,1.23,834
Midbrain,MB,-3.38,3.35,1.23,807
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.97,1.24,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.29,1.25,834
Midbrain,MB,-3.38,3.44,1.34,807
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.23,1.33,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.88,1.38,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.12,1.39,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.66,1.42,834
Midbrain reticular nucleus,MRN,-3.38,3.55,1.44,827
Superior colliculus motor related intermediate white layer,SCiw,-3.38,3.05,1.5,834
Midbrain,MB,-3.38,3.35,1.56,807
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.78,1.58,834
Superior colliculus motor related intermediate white layer,SCiw,-3.38,2.83,1.63,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.93,-1.36,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,3.1,-1.31,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,3.09,-1.22,834
Midbrain reticular nucleus,MRN,-3.46,3.82,-0.58,827
Midbrain reticular nucleus,MRN,-3.46,3.95,-0.53,827
Midbrain reticular nucleus,MRN,-3.46,4,-0.26,827
Midbrain reticular nucleus,MRN,-3.46,4.12,-0.26,827
Midbrain reticular nucleus,MRN,-3.46,4.02,0.34,827
Red nucleus,RN,-3.46,4.51,0.36,854
Red nucleus,RN,-3.46,4.27,0.37,854
Red nucleus,RN,-3.46,4.18,0.4,854
Midbrain reticular nucleus,MRN,-3.46,4.07,0.5,827
Periaqueductal gray,PAG,-3.46,3.06,0.55,839
Red nucleus,RN,-3.46,4.37,0.59,854
rubrospinal tract,rust,-3.46,4.86,0.59,1231
Red nucleus,RN,-3.46,4.37,0.65,854
Superior colliculus motor related intermediate gray layer,SCig,-3.46,2.03,0.65,835
Red nucleus,RN,-3.46,4.08,0.67,854
Midbrain,MB,-3.46,4.77,0.69,807
Red nucleus,RN,-3.46,4.3,0.73,854
Red nucleus,RN,-3.46,4.36,0.79,854
Red nucleus,RN,-3.46,4.25,0.85,854
Red nucleus,RN,-3.46,4.39,0.85,854
Midbrain reticular nucleus,MRN,-3.46,3.46,0.92,827
Midbrain,MB,-3.46,3.2,1,807
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.4,1.03,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.31,1.08,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.53,1.07,834
Midbrain,MB,-3.46,3.23,1.12,807
Superior colliculus motor related intermediate gray layer,SCig,-3.46,2.28,1.19,835
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.51,1.21,834
Midbrain,MB,-3.46,3.32,1.27,807
Superior colliculus motor related intermediate white layer,SCiw,-3.46,3,1.29,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.8,1.29,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,3.07,1.3,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.86,1.35,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,3.09,1.36,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.97,1.37,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.63,1.43,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,3.12,1.42,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,3.03,1.47,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.66,1.53,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,3.05,1.53,834
Superior colliculus motor related intermediate white layer,SCiw,-3.46,2.96,1.58,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.98,-1.4,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.86,-1.38,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,3.18,-1.37,834
Midbrain,MB,-3.54,3.2,-1.26,807
Midbrain reticular nucleus,MRN,-3.54,3.24,-1.14,827
Red nucleus,RN,-3.54,4.04,-0.88,854
Red nucleus,RN,-3.54,4.28,-0.87,854
Midbrain reticular nucleus,MRN,-3.54,3.73,-0.58,827
Midbrain reticular nucleus,MRN,-3.54,4.03,-0.51,827
Periaqueductal gray,PAG,-3.54,3.63,-0.38,839
Midbrain reticular nucleus,MRN,-3.54,3.83,-0.38,827
Midbrain,MB,-3.54,3.7,-0.36,807
Midbrain reticular nucleus,MRN,-3.54,4.04,0.27,827
Midbrain reticular nucleus,MRN,-3.54,4.28,0.29,827
Midbrain reticular nucleus,MRN,-3.54,3.87,0.33,827
Midbrain reticular nucleus,MRN,-3.54,4.1,0.42,827
Midbrain reticular nucleus,MRN,-3.54,3.9,0.44,827
Midbrain reticular nucleus,MRN,-3.54,4.02,0.49,827
Red nucleus,RN,-3.54,4.17,0.54,854
Midbrain reticular nucleus,MRN,-3.54,3.83,0.55,827
Red nucleus,RN,-3.54,4,0.68,854
Periaqueductal gray,PAG,-3.54,3.07,0.78,839
Red nucleus,RN,-3.54,4.18,0.84,854
rubrospinal tract,rust,-3.54,4.79,0.92,1231
Red nucleus,RN,-3.54,4.12,0.92,854
Red nucleus,RN,-3.54,4.21,0.95,854
Red nucleus,RN,-3.54,4.09,0.97,854
Red nucleus,RN,-3.54,4.18,0.98,854
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.32,1.07,834
Superior colliculus motor related deep gray layer,SCdg,-3.54,3.15,1.08,832
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.65,1.11,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.51,1.12,834
Superior colliculus motor related deep gray layer,SCdg,-3.54,3.06,1.12,832
Superior colliculus motor related deep gray layer,SCdg,-3.54,3.09,1.16,832
Superior colliculus motor related deep gray layer,SCdg,-3.54,2.96,1.21,832
Midbrain,MB,-3.54,3.2,1.22,807
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.42,1.24,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.63,1.24,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.56,1.27,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.7,1.26,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.98,1.27,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.82,1.28,834
Midbrain reticular nucleus retrorubral area,RR,-3.54,4.57,1.31,826
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.84,1.31,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.97,1.33,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.65,1.34,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.7,1.38,834
Midbrain reticular nucleus,MRN,-3.54,3.78,1.38,827
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.74,1.39,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.62,1.41,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,3.05,1.41,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,3.06,1.47,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.88,1.5,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.77,1.51,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.61,1.52,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.94,1.54,834
Superior colliculus motor related intermediate white layer,SCiw,-3.54,2.7,1.65,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.97,-1.63,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.73,-1.59,834
Midbrain reticular nucleus,MRN,-3.62,4.14,-1.56,827
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.98,-1.53,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.93,-1.42,834
Superior colliculus motor related deep gray layer,SCdg,-3.62,3.04,-1.35,832
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.82,-1.33,834
Midbrain reticular nucleus retrorubral area,RR,-3.62,4.77,-1.2,826
Superior colliculus motor related deep white layer,SCdw,-3.62,2.98,-0.86,833
Midbrain reticular nucleus,MRN,-3.62,3.79,-0.49,827
Midbrain reticular nucleus,MRN,-3.62,3.7,-0.39,827
Midbrain reticular nucleus,MRN,-3.62,3.96,-0.35,827
Periaqueductal gray,PAG,-3.62,3.64,-0.32,839
Midbrain,MB,-3.62,3.79,-0.26,807
crossed tectospinal pathway,tspc,-3.62,4.25,0.21,1230
Midbrain reticular nucleus,MRN,-3.62,4.18,0.23,827
Midbrain reticular nucleus,MRN,-3.62,4.08,0.25,827
Periaqueductal gray,PAG,-3.62,3.72,0.28,839
Midbrain reticular nucleus,MRN,-3.62,4.07,0.34,827
Midbrain reticular nucleus,MRN,-3.62,3.7,0.39,827
Midbrain reticular nucleus,MRN,-3.62,3.95,0.4,827
Midbrain reticular nucleus,MRN,-3.62,4.14,0.43,827
Midbrain reticular nucleus,MRN,-3.62,3.9,0.45,827
Midbrain reticular nucleus,MRN,-3.62,4.09,0.47,827
Midbrain reticular nucleus,MRN,-3.62,3.78,0.54,827
Midbrain reticular nucleus,MRN,-3.62,3.9,0.55,827
Midbrain reticular nucleus,MRN,-3.62,3.7,0.56,827
Red nucleus,RN,-3.62,4.05,0.58,854
Midbrain reticular nucleus,MRN,-3.62,4,0.6,827
Red nucleus,RN,-3.62,4.12,0.59,854
Red nucleus,RN,-3.62,4.15,0.61,854
Red nucleus,RN,-3.62,4.1,0.63,854
Midbrain reticular nucleus,MRN,-3.62,3.91,0.64,827
Red nucleus,RN,-3.62,4.18,0.63,854
Midbrain reticular nucleus,MRN,-3.62,3.87,0.66,827
Red nucleus,RN,-3.62,4.23,0.69,854
Red nucleus,RN,-3.62,4.2,0.71,854
Red nucleus,RN,-3.62,4.2,0.76,854
rubrospinal tract,rust,-3.62,4.73,0.79,1231
Superior colliculus motor related deep gray layer,SCdg,-3.62,2.63,0.83,832
Superior colliculus motor related deep gray layer,SCdg,-3.62,3,0.92,832
Red nucleus,RN,-3.62,4.16,1.06,854
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.36,1.1,834
Midbrain reticular nucleus,MRN,-3.62,4.09,1.12,827
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.21,1.13,834
Superior colliculus motor related deep gray layer,SCdg,-3.62,3.02,1.14,832
Superior colliculus motor related deep gray layer,SCdg,-3.62,3.11,1.17,832
Superior colliculus motor related intermediate gray layer,SCig,-3.62,2.23,1.2,835
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.35,1.19,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.59,1.21,834
Midbrain reticular nucleus,MRN,-3.62,3.24,1.28,827
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.48,1.29,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.57,1.3,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.53,1.34,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.66,1.37,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.52,1.4,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.94,1.42,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.61,1.43,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.49,1.45,834
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.7,1.49,834
Superior colliculus motor related intermediate gray layer,SCig,-3.62,2.41,1.5,835
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.54,1.51,834
Superior colliculus motor related intermediate gray layer,SCig,-3.62,2.28,1.52,835
Superior colliculus motor related intermediate gray layer,SCig,-3.62,2.38,1.57,835
Superior colliculus motor related intermediate gray layer,SCig,-3.62,2.45,1.64,835
Superior colliculus motor related intermediate gray layer,SCig,-3.62,2.5,1.65,835
Superior colliculus motor related intermediate white layer,SCiw,-3.62,2.93,1.72,834
Superior colliculus motor related intermediate gray layer,SCig,-3.62,2.56,1.78,835
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.88,-1.61,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.74,-1.49,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.62,-1.47,834
Midbrain reticular nucleus,MRN,-3.7,4.15,-1.41,827
Midbrain reticular nucleus,MRN,-3.7,3.29,-0.82,827
Midbrain reticular nucleus,MRN,-3.7,3.46,-0.65,827
Midbrain reticular nucleus,MRN,-3.7,3.94,-0.34,827
Periaqueductal gray,PAG,-3.7,3.64,-0.28,839
medial longitudinal fascicle,mlf,-3.7,3.91,-0.22,1121
Periaqueductal gray,PAG,-3.7,2.71,-0.18,839
Periaqueductal gray,PAG,-3.7,3.66,0.29,839
Midbrain reticular nucleus,MRN,-3.7,3.91,0.36,827
Periaqueductal gray,PAG,-3.7,3.64,0.36,839
Midbrain reticular nucleus,MRN,-3.7,4.01,0.39,827
Midbrain reticular nucleus,MRN,-3.7,3.91,0.42,827
Midbrain reticular nucleus,MRN,-3.7,3.95,0.47,827
Midbrain reticular nucleus,MRN,-3.7,3.87,0.48,827
Midbrain reticular nucleus,MRN,-3.7,3.96,0.51,827
Midbrain reticular nucleus,MRN,-3.7,4.04,0.53,827
Midbrain reticular nucleus,MRN,-3.7,3.92,0.54,827
Midbrain reticular nucleus,MRN,-3.7,3.94,0.57,827
Red nucleus,RN,-3.7,4.12,0.57,854
Red nucleus,RN,-3.7,4.15,0.6,854
Midbrain reticular nucleus,MRN,-3.7,3.29,0.76,827
Midbrain,MB,-3.7,3.16,0.87,807
Superior colliculus motor related intermediate gray layer,SCig,-3.7,1.93,0.88,835
Superior colliculus motor related intermediate gray layer,SCig,-3.7,1.96,0.92,835
Superior colliculus motor related deep gray layer,SCdg,-3.7,2.97,1.17,832
Superior colliculus motor related deep gray layer,SCdg,-3.7,3.08,1.21,832
Midbrain reticular nucleus,MRN,-3.7,3.17,1.21,827
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.54,1.28,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.31,1.3,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.37,1.36,834
Superior colliculus motor related intermediate gray layer,SCig,-3.7,2.21,1.41,835
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.4,1.43,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.75,1.44,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.43,1.49,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.69,1.52,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.61,1.54,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.58,1.6,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.57,1.65,834
Superior colliculus motor related intermediate white layer,SCiw,-3.7,2.73,1.69,834
Superior colliculus motor related intermediate gray layer,SCig,-3.7,2.45,1.73,835
Superior colliculus motor related intermediate gray layer,SCig,-3.7,2.55,1.78,835
Superior colliculus motor related intermediate white layer,SCiw,-3.78,2.58,-1.55,834
Superior colliculus motor related intermediate white layer,SCiw,-3.78,2.61,-1.48,834
Superior colliculus motor related deep gray layer,SCdg,-3.78,3.03,-1.12,832
Midbrain reticular nucleus,MRN,-3.78,3.22,-0.99,827
Midbrain reticular nucleus,MRN,-3.78,3.8,-0.32,827
Periaqueductal gray,PAG,-3.78,3.7,-0.28,839
medial longitudinal fascicle,mlf,-3.78,3.93,-0.21,1121
Periaqueductal gray,PAG,-3.78,3.62,-0.19,839
Midbrain,MB,-3.78,3.87,0.06,807
Midbrain,MB,-3.78,3.65,0.11,807
Periaqueductal gray,PAG,-3.78,3.53,0.15,839
Midbrain reticular nucleus,MRN,-3.78,3.93,0.49,827
Superior colliculus motor related intermediate gray layer,SCig,-3.78,1.9,0.79,835
Midbrain reticular nucleus,MRN,-3.78,3.71,0.95,827
Superior colliculus motor related intermediate gray layer,SCig,-3.78,2.09,1.11,835
Superior colliculus motor related intermediate white layer,SCiw,-3.78,2.28,1.12,834
Superior colliculus motor related intermediate white layer,SCiw,-3.78,2.2,1.14,834
Superior colliculus motor related deep gray layer,SCdg,-3.78,2.63,1.17,832
Superior colliculus motor related deep gray layer,SCdg,-3.78,2.81,1.21,832
Midbrain reticular nucleus,MRN,-3.78,3.25,1.26,827
Superior colliculus motor related intermediate gray layer,SCig,-3.78,2.19,1.32,835
Midbrain reticular nucleus,MRN,-3.78,3.45,1.36,827
Superior colliculus motor related intermediate gray layer,SCig,-3.78,2.24,1.71,835
Midbrain,MB,-3.86,3.65,0.11,807
